name,accuracy,f1,roc_auc,threshold,val_f1_threshold_tuning,cv_best_f1,best_params
XGBoost RandomizedSearchCV + early stopping,0.478,0.4180602006688963,0.6315572274665295,0.49183673469387756,0.4212736179146256,0.4196759229191473,"{'colsample_bytree': np.float64(0.8630451569201374), 'eval_metric': 'logloss', 'gamma': np.float64(2.841543016677358), 'learning_rate': np.float64(0.028734953565618497), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 1345, 'objective': 'binary:logistic', 'reg_alpha': np.float64(0.24398964337908358), 'reg_lambda': np.float64(5.865052773762228), 'scale_pos_weight': np.float64(4.430977246667604), 'subsample': np.float64(0.9568186220708453)}"
RandomForest RandomizedSearchCV,0.6085,0.4,0.6228730140296741,0.5081632653061224,0.425,0.398650465376485,"{'bootstrap': False, 'class_weight': 'balanced', 'max_depth': 6, 'max_features': 0.5, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 220}"
